,Abbreviazione,Archivio,
0,﻿Berlino SMB - AA,"Berlino, Staatliche Museen zu Berlin - Archiv der Antikensammlung",
1,Ginevra AVG ,"Ginevra, Archives de la Ville de Genève",
2,Londra TPSA,"Londra, The Post-Soane Archive",
3,Los Angeles GRI - SC,"Los Angeles, The Getty Research Institute - Special Collections",
4,Monaco di Baviera BH,"Monaco di Baviera, Bayerisches Hauptstaatsarchiv",
5,Napoli ADMANN,"Napoli, Archivio Disegni del Museo Archeologico Nazionale di Napoli",
6,Napoli ASMANN ,"Napoli, Archivio Storico del Museo Archeologico Nazionale di Napoli",
7,Napoli ASN ,"Napoli, Archivio di Stato di Napoli",
8,Parigi AN ,"Parigi, Archives nationales",
9,Parigi BhVP ,"Parigi, Bibliothèque historique de la Ville de Paris",
10,Parigi BnF - dEp,"Parigi, Bibliothèque nationale de France - départment des Estampes et de la photographie",
11,Rueil-Malmaison AMMB-P,"Rueil-Malmaison, archives du Musée national des châteaux de Malmaison & Bois-Préau",
12,,,
13,,,
